File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,,
3008,7,9,,35051200710000,Mobil,Leonard Heirs,1,22,8,N,8,W,SWNE,35.15465,98.02752,Grady,OK,Melton,Verden Northeast,9990,9996.5,Whole,4x4 Butt Box,Good,2,,2 Row of core per box,,
3008,8,9,,35051200710000,Mobil,Leonard Heirs,1,22,8,N,8,W,SWNE,35.15465,98.02752,Grady,OK,Melton,Verden Northeast,9996.5,10001.5,Whole,4x4 Butt Box,Good,2,,2 Row of core per box,,
3008,9,9,,35051200710000,Mobil,Leonard Heirs,1,22,8,N,8,W,SWNE,35.15465,98.02752,Grady,OK,Melton,Verden Northeast,10001.5,10005,Whole,4x4 Butt Box,Good,2,,2 Row of core per box,,
3009,48,,,35051300150001,Mobil,Dougherty,3,1,4,N,5,W,NESW,34.84642,97.6792,Grady,OK,Bromide,Golden Trend,12707,13040,Whole,,,1.5,,,,
3009,28,,,35051300150001,Mobil,Dougherty,3,1,4,N,5,W,NESW,34.84642,97.6792,Grady,OK,Tulip Creek,Golden Trend,13040,13232,Whole,,,1.5,, Standard bx., 6ft. cap..,
3009,12,,,35051300150001,Mobil,Dougherty,3,1,4,N,5,W,NESW,34.84642,97.6792,Grady,OK,Mclish,Golden Trend,13232,13314,Whole,,,1.5,,,,
3010,35,,,35051004280000,Mobil,Gage Ord,1,27,5,N,6,W,NWSE,34.87464,97.81587,Grady,OK,Bromide,Chitwood,16295,16501,Whole,,,2,,,,
3010,19,,,35051004280000,Mobil,Gage Ord,1,27,5,N,6,W,NWSE,34.87464,97.81587,Grady,OK,Bromide,Chitwood,16506,16618,Whole,,,2,,  6 ft. Bx. cap.,,
3010,34,,,35051004280000,Mobil,Gage Ord,1,27,5,N,6,W,NWSE,34.87464,97.81587,Grady,OK,Bromide,Chitwood,16719,16924,Whole,,,2,,,,
3010,16,,,35051004280000,Mobil,Gage Ord,1,27,5,N,6,W,NWSE,34.87464,97.81587,Grady,OK,Mclish,Chitwood,16924,17018,Whole,,,2,,,,
3011,28,,,35039300030000,Mobil,Sharp-Hunt Un,1,26,15,N,16,W,E2NW,35.75093,98.87228,Custer,OK,Hunton,Custer City North,14287,14453,Slab,,,2,,,,
3012,29,,,35051300050000,Mobil,Chitwood-Powers Un ,1,29,5,N,6,W,NWSE,34.87367,97.85144,Grady,OK,Bromide,Chitwood,16258,16818,Slab,,,2,,Good cond. Flat bxs.- 15ft. cap.,,
3012,2,,,35051300050000,Mobil,Chitwood-Powers Un ,1,29,5,N,6,W,NWSE,34.87367,97.85144,Grady,OK,Mclish,Chitwood,16818,16833,Slab,,,2,,,,
3013,63,,,35051300560000,Mobil,Holbrook Unit,1,35,5,N,6,W,SWNE,34.86572,97.79822,Grady,OK,Bromide,Alex South,15865,16246,Whole,,,2,,,,
3013,98,,,35051300560000,Mobil,Holbrook Unit,1,35,5,N,6,W,SWNE,34.86572,97.79822,Grady,OK,Tulip Creek,Alex South,16246,16447,Whole,,,2,,,,
3014,12,,,35007200290000,Mobil, Herbert Penner,1,4,5,N,21,ECM,SENW,36.9303,100.79423,Beaver,OK,Oswego,Wildcat,5620,5800,Slab,,,3,,,,
3014,8,,,35007200290000,Mobil, Herbert Penner,1,4,5,N,21,ECM,SENW,36.9303,100.79423,Beaver,OK,St Louis,Wildcat,6891,7010,Slab,,,3,,,,
3015,15,,,35051300320000,Mobil,Quinton,1,32,5,N,6,W,SWNE,34.86417,97.85286,Grady,OK,Bromide,Chitwood,16407,16645,Slab,,,2,,,,
3015,13,,,35051300320000,Mobil,Quinton,1,32,5,N,6,W,SWNE,34.86417,97.85286,Grady,OK,Bromide,Chitwood,16675,16875,Slab,,,2,,Flat bxs., 15 ft. cap.,
3015,6,,,35051300320000,Mobil,Quinton,1,32,5,N,6,W,SWNE,34.86417,97.85286,Grady,OK,Bromide,Chitwood,16881,16976,Slab,,,2,,,,
3016,7,,,35051300100001,Humphrey,Mullican,1,25,5,N,6,W,NE SW,34.87587,97.7882,Grady,OK,Bromide,Chitwood,15890,16160,Slab,,,1.3,,Fair cond.,Flat bxs., 30 ft. cap.
3017,12,,,35053218390000,Mobil,Messenger,1-A,22,26,N,3,W,SW SE,36.71129,97.93509,Grant,OK,Misener,Nash Northeast,5967,5998,Slab,,,4,,,,
3018,11,,,35103231150000,Axem Resources,Warren,11-24,24,21,N,2,W,NESW,36.2813,97.25818,Noble,OK,Verdigris,Perry Townsite Se,4642,4670,Slab,,,4,,,,
3018,11,,,35103231150000,Axem Resources,Warren,11-24,24,21,N,2,W,NESW,36.2813,97.25818,Noble,OK,Skinner,Perry Townsite Se,4642,4670,Slab,,,4,,,,
3018,11,,,35103231150000,Axem Resources,Warren,11-24,24,21,N,2,W,NESW,36.2813,97.25818,Noble,OK,Pink Lime,Perry Townsite Se,4642,4670,Slab,,,4,,,,
3019,6,,,35019061650000,Huber J M,Hollingsworth,1,1,3,S,3,W,NENE,34.33064,97.45936,Carter,OK,Arbuckle,Sho-Vel-Tum,9158,9208,Slab,,,2.3,,"Flat bxs., 12 ft. capacity",,
3019,8,,,35019061650000,King,Hollingsworth,1,1,3,S,3,W,NENE,34.33064,97.45936,Carter,OK,Kindblade,Sho-Vel-Tum,10030,10344,Slab,,,2.3,,,,
3020,6,,,35083226550000,Sullivan,Donahoe,2,16,18,N,2,W,SWSE,36.03122,97.4129,Logan,OK,Misener,Mulhall South,5742,5780,Slab,,,4,,"Flat bxs.,7.5 cap., Good cond.",,
3021,13,,,35083226550000,Sullivan,Donahoe,2,16,18,N,2,W,SWSE,36.03122,97.4129,Logan,OK,Misener,Mulhall South,5742,5780,Slab,,,4,,,,
3022,2,,,35083226120000,Sullivan,Donahoe Blake ,1,16,18,N,2,W,SESE,36.03122,97.41066,Logan,OK,Misener,Mulhall South,5753,5763,Slab,,,3.8,, Flat bxs., 7.5 ft. cap.,
3023,4,,,35083226120000,Sullivan,Donahoe Blake ,1,16,18,N,2,W,SESE,36.03122,97.41066,Logan,OK,Misener,Mulhall South,5753,5764,Slab,,,3.8,,,,
3024,15,,,35125218080000,Sullivan,Carroll,1,25,10,N,2,E,SENW,35.31312,97.04741,Pottawatomie,OK,Red Fork,Shawnee Lake Se,5805,5850,Whole,,,3.8,,,,
3025,,7,,35003210690000,Sullivan,M Blevins,1,30,28,N,9,W,C NE NW,36.88227,98.20977,Alfalfa,OK,Red Fork,Wakita Trend,4955,4976,Whole,,,4,,,,
3026,1,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5147,5150,Whole,4x4 Butt Box,Good,3.8,,,,
3026,2,36,,35125220050000,Sullivan,Phillips,2,2,9,N,2,E,SWSE,35.27801,97.06101,Pottawatomie,OK,Red Fork,Centerpoint,5150,5153,Whole,4x4 Butt Box,Good,3.8,,,,
